NFE,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5,Seed 6,Seed 7,Seed 8,Seed 9,Seed 10,Seed 11,Seed 12,Seed 13,Seed 14,Seed 15,Seed 16,Seed 17,Seed 18,Seed 19,Seed 20
10,0.028245103,0.047239651,0.014320263,0.061090456,0.014064872,0.070980745,0.046617072,0.030344818,0.0239039,0.055689182,0.01119837,0.008866781,0.052330534,0.003871675,0.029134194,0.073956611,0.037015976,0.04866594,0.019030486,0.012530269
20,0.076940089,0.055932452,0.058192876,0.096659159,0.085046402,0.117625513,0.056939367,0.050086045,0.075438608,0.087932931,0.085385224,0.076217283,0.069862164,0.020502425,0.096952797,0.132150506,0.043674124,0.088959932,0.045639365,0.077070636
30,0.08952177,0.127910412,0.117708972,0.152279792,0.137553266,0.120952972,0.122114195,0.116092752,0.086226152,0.091282953,0.133665284,0.122163035,0.109327418,0.070916858,0.167111061,0.203789873,0.08681679,0.15457875,0.082232428,0.13109071
40,0.13484752,0.183295063,0.151071069,0.182786553,0.187510849,0.156267894,0.183683935,0.130233222,0.12177924,0.094368263,0.154949122,0.174993931,0.113787499,0.126641919,0.217333188,0.275333406,0.15986303,0.208808028,0.147646473,0.1686702
50,0.136741374,0.224690177,0.177658678,0.246916928,0.224343219,0.164855242,0.233278821,0.152231814,0.138534558,0.153479216,0.221821226,0.215682089,0.117712159,0.130832016,0.243476505,0.336690375,0.167685923,0.23900778,0.201347196,0.1825304
60,0.176696055,0.235081464,0.19451392,0.284722006,0.235870455,0.22657728,0.234498876,0.16886343,0.162153946,0.216604077,0.274059003,0.230676973,0.160639172,0.136200897,0.294581353,0.359808233,0.199136627,0.257747807,0.220585935,0.255787198
70,0.235279969,0.268221148,0.194641296,0.324496224,0.291290763,0.276323244,0.256262035,0.223578236,0.188841773,0.282594018,0.300134632,0.257296048,0.189905557,0.164998574,0.346739791,0.379168886,0.219229651,0.271820921,0.269889554,0.271224079
80,0.280378125,0.340196345,0.220763188,0.348930656,0.322890995,0.284821304,0.2574022,0.287011644,0.253915124,0.33955176,0.328217306,0.318051317,0.251204974,0.200659777,0.383937717,0.392964163,0.265295157,0.288184826,0.286290192,0.34439809
90,0.322948838,0.364053845,0.228533786,0.383587662,0.334679153,0.325945499,0.274514341,0.31438661,0.29369845,0.371327049,0.358135501,0.366338392,0.271462052,0.215550853,0.419777561,0.418675891,0.311924665,0.319551779,0.311261288,0.380310761
100,0.36832621,0.381089465,0.244195546,0.430421474,0.358172001,0.354895812,0.324176946,0.351426113,0.304252981,0.414036607,0.401543506,0.401315901,0.307576792,0.220150756,0.458273557,0.467483691,0.320583314,0.325636291,0.359887565,0.400644015
110,0.417777666,0.415176805,0.267675637,0.474131536,0.392320446,0.393065866,0.339763914,0.394220194,0.338171286,0.41668852,0.404326406,0.403394269,0.337793697,0.226225064,0.493490631,0.476500373,0.333178964,0.325665948,0.394634516,0.42139554
120,0.418084162,0.427712393,0.284715888,0.50232438,0.399705119,0.397546332,0.345199366,0.394232235,0.38683973,0.461044243,0.443064776,0.442863019,0.347730066,0.252602811,0.519874962,0.501886925,0.333317225,0.340076573,0.406310988,0.469890983
130,0.44135797,0.427922564,0.305164399,0.50844815,0.424492803,0.403100441,0.376851972,0.437739933,0.428142166,0.4927079,0.465015457,0.484073914,0.360925979,0.260377248,0.560935972,0.521511159,0.346363876,0.380270494,0.43037447,0.487377115
140,0.474644479,0.45083935,0.340353402,0.514510848,0.44607531,0.408253206,0.424156982,0.45897307,0.448947635,0.536330395,0.465408785,0.518226165,0.378648014,0.263492946,0.568208099,0.537236903,0.376427055,0.40234781,0.432467518,0.489445089
150,0.479125159,0.451619115,0.344821576,0.518099678,0.446143389,0.411013168,0.425658236,0.461023221,0.449567828,0.539524325,0.467700662,0.519873345,0.382537375,0.266429931,0.569082419,0.538513805,0.376431541,0.405430428,0.437154421,0.491237997
160,0.481730083,0.456296894,0.346945403,0.519848916,0.44936604,0.414071048,0.427880451,0.462891461,0.450580962,0.542832929,0.468457483,0.52178995,0.383710357,0.26895325,0.573402229,0.542988314,0.37714661,0.407035188,0.437698989,0.49212094
170,0.482719927,0.45733139,0.349040624,0.522226163,0.453368782,0.417521238,0.429822025,0.464123558,0.453482223,0.546646702,0.47012083,0.526528453,0.386149981,0.27026088,0.577970956,0.545347966,0.381896146,0.408391009,0.441802749,0.49356234
180,0.485585888,0.460580955,0.35161343,0.524262893,0.455773684,0.422006673,0.430504182,0.468872709,0.454633164,0.54991134,0.474324067,0.527667303,0.386234321,0.271258397,0.580318004,0.546892716,0.386539755,0.413237393,0.44640525,0.49602656
190,0.485819496,0.462833831,0.354317136,0.528142937,0.457664309,0.424574269,0.433828264,0.471007586,0.455678532,0.554102338,0.476029243,0.529990423,0.390706865,0.27283774,0.581622437,0.549110301,0.390995322,0.418019376,0.448335418,0.497200425
200,0.486406638,0.465450249,0.354510834,0.530516618,0.457773824,0.426783316,0.436087804,0.473019737,0.457453623,0.558790613,0.480500966,0.531615684,0.392215528,0.275522132,0.584526738,0.553055817,0.391801838,0.422082436,0.450717819,0.499730494
