Obj 1,Obj 2,Obj 3,Obj 4,Obj 5,Algorithm
0.578257235,0.885925286,0.549350962,0.712125659,0.755304644,A
0.990353119,0.400146595,0.608806052,0.780813967,0.861791602,A
0.638861198,0.961065051,0.689182609,0.76719994,0.793109892,A
0.678758348,0.682655272,0.767808362,0.75029996,0.960661813,A
0.599031856,0.570960207,0.581031705,0.880255093,0.97241313,A
0.594079029,0.571556138,0.607325226,0.8913366,0.635367309,A
0.920360675,0.354548772,0.472364745,0.888355848,0.781489278,A
0.936037914,0.411468532,0.564750661,0.741242749,0.88481135,A
0.708159902,0.456635321,0.739971423,0.709267298,0.86416983,A
0.624016383,0.874448492,0.636686136,0.751753268,0.793437934,A
0.875542449,0.163541808,0.796404903,0.728892883,0.767336868,A
0.671504436,0.81495145,0.771242847,0.863796466,0.63820936,A
0.97147703,0.510697654,0.74358847,0.824515309,0.799718305,A
0.843720766,0.479175222,0.542674705,0.791106542,0.853100707,A
0.958157377,0.780988823,0.537456329,0.838792951,0.664802009,A
0.528096582,0.529726704,0.775182902,0.778779468,0.971907785,A
0.88255112,0.880307315,0.805995744,0.723793633,0.715282572,A
0.829642861,0.294619716,0.470269389,0.826379249,0.955835736,A
0.759359542,0.934022938,0.647487429,0.814613854,0.680736255,A
0.568604695,0.865139901,0.533579898,0.733891188,0.87138668,A
0.659219775,0.567364125,0.56708981,0.854987619,0.716831012,A
0.863059844,0.531542897,0.466208464,0.760559033,0.648791559,A
0.525336578,0.94234869,0.802406427,0.884564583,0.78084657,A
0.818622548,0.478117648,0.590822456,0.880217172,0.837212655,A
0.82129103,0.243029017,0.780670637,0.795314504,0.904930083,A
0.907864068,0.611090945,0.644310311,0.87271377,0.623214189,A
0.909609747,0.762677722,0.664888139,0.839530529,0.884033687,A
0.693974997,0.725735638,0.807472623,0.765119369,0.853851407,A
0.677385254,0.968988013,0.5525256,0.834933707,0.750803029,A
0.692042383,0.182998037,0.199128492,0.18229153,0.819148655,B
0.619173676,0.611064134,0.251501045,0.552759916,0.464272546,B
0.100527133,0.716698723,0.104074012,0.494494758,0.42325412,B
0.28826454,0.72659789,0,0.491451057,0.925545642,B
0.873236465,0.820930972,0.136828497,0.52186973,0.626289649,B
0.386015632,0.183586714,0.297464436,0.103264078,0.566571266,B
0.344510438,0.599618931,0.231108683,0.761098588,0.667753982,B
0.637229037,0.182084556,0.577094109,0.425772999,0.516693144,B
0.119710311,0.759768507,0.01,0.131875636,0.637951577,B
0.597221847,0.47916809,0.227407936,0.865452322,0.710786016,B
0.605206262,0.309871681,0.405253968,0.390431413,0.634444306,B
0.745995589,0.579572844,0.097793574,0.636977438,0.688054008,B
0.391627989,0.484867228,0.521818194,0.142231268,0.45383721,B
0.411131301,0.588873127,0.269859044,0.635997755,0.696382423,B
0.145723764,0.878103078,0.059816718,0.07191287,0.785642332,B
0.605544347,0.651159777,0.245853203,0.085544187,0.540705644,B
0.385572876,0.443559241,0.391694539,0.210131361,0.54674877,B
0.746769693,0.514488861,0.419651131,0.598197798,0.906789939,B
0.338833213,0.751445134,0.299888473,0.100132875,0.75524153,B
0.564581418,0.363840364,0,0.147784579,0.86587327,B
0.436581934,0.747615536,0.316093568,0.182000427,0.567649077,B
0.268465725,0.6100226,0.437654305,0.474762646,0.915560102,B
0.386017665,0.364093274,0.475470661,0.212693236,0.748244137,B
0.872258398,0.586703355,0.250586346,0.194546674,0.458252565,B
0.667142779,0.685935773,0.081099773,0.020255123,0.616950493,B
0.764616151,0.766019862,0.059123709,0.887241579,0.384797866,B
0.425919496,0.37183223,0.026471236,0.787559332,0.792379599,B
0.505221822,0.333234921,0.351523324,0.449442098,0.578559612,B
0.40712612,0.404839074,0.223704099,0.561383766,0.711578572,B
