idx,inf_trigger,tt_trigger,INPC,REL,INPC_Regret
0,0.88470907,0.001,322636666.9,0.75,499144733.2
1,0.993174777,0.001,307140672.6,0.903,499144733.2
2,0.001,0.007228978,647176592.8,0.878,1081138006
3,0.851501478,0.001776223,307140672.6,0.867,499144733.2
4,0.767693498,0.019055364,322636666.9,0.88,499144733.2
5,1,0.055758693,0,0.31,0
6,0.990946944,0.004641029,307140672.6,0.775,499144733.2
7,1,0.001000325,0,0.519,0
8,0.997286325,0.002703416,322636666.9,0.865,499144733.2
9,0.569988345,0.018859225,322636666.9,0.821,499144733.2
10,0.001082557,0.007545784,691723337.8,0.891,1081138006
11,0.421552177,0.010263811,307140672.6,0.802,499144733.2
12,0.001082557,0.008388442,676227343.5,0.859,1081138006
13,0.0530767,0.008505524,411558213.8,0.842,531137411.9
14,0.020055354,0.001,434778666.5,0.846,579945740.9
15,0.042096918,0.001404162,566351828,0.912,837717906.8
16,1,0.008334043,0,0.524,0
17,0.04532537,0.008824778,462811039,0.866,552981936.1
18,0.88100556,0.01070635,307140672.6,0.811,499144733.2
19,0.001,0.002271581,634616229.2,0.874,1081138006
20,1,0.001,0,0.539,0
21,1,0.001,0,0.508,0
22,0.956247761,0.002994084,307140672.6,0.818,499144733.2
23,0.735870185,0.00193553,307140672.6,0.883,499144733.2
24,0.089919698,0.004445938,376793323.8,0.877,502664944.9
25,0.033909923,0.008075969,522032331,0.86,651141034.4
26,0.001,0.001645568,649873983.6,0.865,1081138006
27,0.950292307,0.002249061,307140672.6,0.912,499144733.2
28,0.002667136,0.001,645801373.3,0.872,1081138006
29,0.041721236,0.001,467976136.1,0.867,552332137.8
30,0.024944779,0.001,547901206,0.877,699734647.5
31,0.686349721,0.001205249,307140672.6,0.829,499144733.2
32,0.755222717,0.001,322636666.9,0.891,499144733.2
33,0.007257845,0.001,632488522.5,0.891,1081138006
34,0.851205402,0.003613569,307140672.6,0.829,499144733.2
35,0.026062409,0.005392617,508241722.9,0.874,644925572.3
36,0.001,0.007999771,669680263.5,0.893,1081138006
37,0.001,0.001,611657373.2,0.878,1081138006
38,0.043415358,0.003092079,446069435.8,0.872,542359146.3
39,0.568691401,0.014944345,322636666.9,0.886,499144733.2
40,1,0.020129952,0,0.316,0
41,0.001,0.009274634,658027100.9,0.877,1081138006
42,0.001,0.019126788,1065787346,0.908,1683382115
43,0.030661268,0.001,536212176.8,0.893,667527252.8
44,0.079848535,0.001,417490489.9,0.892,515802171.7
45,0.354160381,0.001283652,322636666.9,0.874,499144733.2
46,0.001,0.006282511,657242663.6,0.867,1081138006
47,0.030894321,0.001,556927774.6,0.838,688433807.2
48,0.001,0.006536897,667267484.1,0.878,1081138006
49,0.038741309,0.012159416,550545772.1,0.884,694649269.4
50,0.026062409,0.005392617,551841111,0.904,684478513.2
51,0.061189287,0.001,351963196.8,0.899,501868235.7
52,1,0.045498458,0,0.254,0
53,1,0.045498458,0,0.146,0
54,1,0.060652995,0,0.491,0
55,1,0.137329345,0,0.288,0
56,1,0.058786055,0,0.301,0
57,1,0.001,0,0.326,0
58,1,0.073851234,0,0.529,0
59,0.015871614,0.001020613,777416379.8,0.893,1184237381
60,0.030788306,0.004954997,523453240.6,0.877,668657336.8
61,1,0.007197691,0,0.305,0
62,0.001,0.001,673119440.4,0.891,1081138006
63,1,0.007197691,0,0.305,0
64,0.880830761,0.006097863,322636666.9,0.872,499144733.2
65,1,0.007763308,0,0.312,0
66,0.501148838,0.004681583,307140672.6,0.845,499144733.2
67,0.009166733,0.001,611348695,0.912,1067068459
68,0.815870751,0.001183564,307140672.6,0.846,499144733.2
69,0.001,0.001,646999426.9,0.854,1081138006
70,1,0.34645456,0,0.272,0
71,0.001,0.001,758646673.7,0.887,1184237381
72,0.001,0.001,579191512.9,0.915,1065746261
73,0.093437814,0.001,377020615.4,0.844,502292017.2
74,0.001,0.001,759874598.4,0.911,1184237381
75,0.021584748,0.001,709308379.9,0.908,1184237381
76,0.034781926,0.013565936,461184006.5,0.86,583335993
77,1,0.031982456,0,0.535,0
78,0.021909594,0.003140972,541538284.3,0.878,687303723.2
79,1,0.225585196,0,0.267,0
80,0.021909594,0.003102667,519078743.2,0.867,665832126.8
81,0.025014981,0.005471776,540321610.5,0.887,686738681.2
82,0.001,0.001,631114882.5,0.851,1081138006
83,0.001,0.001,618104124.4,0.891,1081138006
84,0.021909594,0.003140972,898580729,0.867,1289547832
85,1,0.062608745,0,0.317,0
86,0.021909594,0.003102667,874655267.3,0.867,1268076236
87,0.001,0.001,660137447.6,0.884,1081138006
88,1,0.065799886,0,0.302,0
89,1,0.005615432,0,0.317,0
90,1,0.073049047,0,0.486,0
